feature_accum_x,failure_rate
70401988224.0,0.0
70601988224.0,0.0
70801988224.0,0.0
71001988224.0,0.0
71201988224.0,0.0
71401988224.0,0.0
71601988224.0,0.0
71801988224.0,0.0
72001988224.0,0.0
72201988224.0,0.0
72401988224.0,0.0
72601988224.0,0.0
72801988224.0,0.0
73001988224.0,0.0
73201988224.0,0.0
73401988224.0,0.0
73601988224.0,0.0
73801988224.0,0.0
74001988224.0,0.0
74201988224.0,0.0
74401988224.0,0.0
74601988224.0,0.0
74801988224.0,0.0
75001988224.0,0.0
75201988224.0,0.0
75401988224.0,0.0
75601988224.0,0.0
75801988224.0,0.0
76001988224.0,0.0
76201988224.0,0.0
76401988224.0,0.0
76601988224.0,0.0
76801988224.0,0.0
77001988224.0,0.0
77201988224.0,0.0
77401988224.0,0.0
77601988224.0,0.0
77801988224.0,0.0
78001988224.0,0.0
78201988224.0,0.0
78401988224.0,0.0
78601988224.0,0.0
78801988224.0,0.0
79001988224.0,0.0
79201988224.0,0.0
79401988224.0,0.0
79601988224.0,0.0
79801988224.0,0.0
80001988224.0,0.0
80201988224.0,0.0
80401988224.0,0.0
80601988224.0,0.0
80801988224.0,0.0
81001988224.0,0.0
81201988224.0,0.0
81401988224.0,0.0
81601988224.0,0.0
81801988224.0,0.0
82001988224.0,0.0
82201988224.0,0.0
82401988224.0,0.0
82601988224.0,0.0
82801988224.0,0.0
83001988224.0,0.0
83201988224.0,0.0
83401988224.0,0.0
83601988224.0,0.0
83801988224.0,0.0
84001988224.0,0.0
84201988224.0,0.0
84401988224.0,0.0
84601988224.0,0.0
84801988224.0,0.0
85001988224.0,0.0
85201988224.0,0.0
85401988224.0,0.0
85601988224.0,0.0
85801988224.0,0.0
86001988224.0,0.0
86201988224.0,0.0
86401988224.0,0.0
86601988224.0,0.0
86801988224.0,0.0
87001988224.0,0.0
87201988224.0,0.0
87401988224.0,0.0
87601988224.0,0.0
87801988224.0,0.0
88001988224.0,0.0
88201988224.0,0.0
88401988224.0,0.0
88601988224.0,0.0
88801988224.0,0.0
89001988224.0,0.0
89201988224.0,0.0
89401988224.0,0.0
89601988224.0,0.0
89801988224.0,0.0
90001988224.0,0.0
90201988224.0,0.0
90401988224.0,0.0
90601988224.0,0.0
90801988224.0,0.0
91001988224.0,0.0
91201988224.0,0.0
91401988224.0,0.0
91601988224.0,0.0
91801988224.0,0.0
92001988224.0,0.0
92201988224.0,0.0
92401988224.0,0.0
92601988224.0,0.0
92801988224.0,0.0
93001988224.0,0.0
93201988224.0,0.0
93401988224.0,0.0
93601988224.0,0.0
93801988224.0,0.0
94001988224.0,0.0
94201988224.0,0.0
94401988224.0,0.0
94601988224.0,0.0
94801988224.0,0.0
95001988224.0,0.0
95201988224.0,0.0
95401988224.0,0.0
95601988224.0,0.0
95801988224.0,0.0
96001988224.0,0.0
96201988224.0,0.0
96401988224.0,0.0
96601988224.0,0.0
96801988224.0,0.0
97001988224.0,0.0
97201988224.0,0.0
97401988224.0,0.0
97601988224.0,0.0
97801988224.0,0.0
98001988224.0,0.0
98201988224.0,0.0
98401988224.0,0.0
98601988224.0,0.0
98801988224.0,0.0
99001988224.0,0.0
99201988224.0,0.0
99401988224.0,0.0
99601988224.0,0.0
99801988224.0,0.0
100001988224.0,0.0
100201988224.0,0.0
100401988224.0,0.0
100601988224.0,0.0
100801988224.0,0.0
101001988224.0,0.0
101201988224.0,0.0
101401988224.0,0.0
101601988224.0,0.0
101801988224.0,0.0
102001988224.0,0.0
102201988224.0,0.0
102401988224.0,0.0
102601988224.0,0.0
102801988224.0,0.0
103001988224.0,0.0
103201988224.0,0.0
103401988224.0,0.0
103601988224.0,0.0
103801988224.0,0.0
104001988224.0,0.0
104201988224.0,0.0
104401988224.0,0.0
104601988224.0,0.0
104801988224.0,0.0
105001988224.0,0.0
105201988224.0,0.0
105401988224.0,0.0
105601988224.0,0.0
105801988224.0,0.0
106001988224.0,0.0
106201988224.0,0.0
106401988224.0,0.0
106601988224.0,0.0
106801988224.0,0.0
107001988224.0,0.0
107201988224.0,0.0
107401988224.0,0.0
107601988224.0,0.0
107801988224.0,0.0
108001988224.0,0.0
108201988224.0,0.0
108401988224.0,0.0
108601988224.0,0.0
108801988224.0,0.0
109001988224.0,0.0
109201988224.0,0.0
109401988224.0,0.0
109601988224.0,0.0
109801988224.0,0.0
110001988224.0,0.0
110201988224.0,0.0
110401988224.0,0.0
110601988224.0,0.0
110801988224.0,0.0
111001988224.0,0.0
111201988224.0,0.0
111401988224.0,0.0
111601988224.0,0.0
111801988224.0,0.0
112001988224.0,0.0
112201988224.0,0.0
112401988224.0,0.0
112601988224.0,0.0
112801988224.0,0.0
113001988224.0,0.0
113201988224.0,0.0
113401988224.0,0.0
113601988224.0,0.0
113801988224.0,0.0
114001988224.0,0.0
114201988224.0,0.0
114401988224.0,0.0
114601988224.0,0.0
114801988224.0,0.0
115001988224.0,0.0
115201988224.0,0.0
115401988224.0,0.0
115601988224.0,0.0
115801988224.0,0.0
116001988224.0,0.0
116201988224.0,0.0
116401988224.0,0.0
116601988224.0,0.0
116801988224.0,0.0
117001988224.0,0.0
117201988224.0,0.0
117401988224.0,0.0
117601988224.0,0.0
117801988224.0,0.0
118001988224.0,0.0
118201988224.0,0.0
118401988224.0,0.0
118601988224.0,0.0
118801988224.0,0.0
119001988224.0,0.0
119201988224.0,0.0
119401988224.0,0.0
119601988224.0,0.0
119801988224.0,0.0
120001988224.0,0.0
120201988224.0,0.0
120401988224.0,0.0
120601988224.0,0.0
120801988224.0,0.0
121001988224.0,0.0
121201988224.0,0.0
121401988224.0,0.0
121601988224.0,0.0
121801988224.0,0.0
122001988224.0,0.0
122201988224.0,0.0
122401988224.0,0.0
122601988224.0,0.0
122801988224.0,0.0
123001988224.0,0.0
123201988224.0,0.0
123401988224.0,0.0
123601988224.0,0.0
123801988224.0,0.0
124001988224.0,0.0
124201988224.0,0.0
124401988224.0,0.0
124601988224.0,0.0
124801988224.0,0.0
125001988224.0,0.0
125201988224.0,0.0
125401988224.0,0.0
125601988224.0,0.0
125801988224.0,0.0
126001988224.0,0.0
126201988224.0,0.0
126401988224.0,0.0
126601988224.0,0.0
126801988224.0,0.0
127001988224.0,0.0
127201988224.0,0.0
127401988224.0,0.0
127601988224.0,0.0
127801988224.0,0.0
128001988224.0,0.0
128201988224.0,0.0
128401988224.0,0.0
128601988224.0,0.0
128801988224.0,0.0
129001988224.0,0.0
129201988224.0,0.0
129401988224.0,0.0
129601988224.0,0.0
129801988224.0,0.0
130001988224.0,0.0
130201988224.0,0.0
130401988224.0,0.0
130601988224.0,0.0
130801988224.0,0.0
